name,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction,length_a,length_b,length_c,angle_alpha,angle_beta,angle_gamma
HAJMEL_clean-(id_177135),1.96831,13.721,27.6717,37.2389,40.3889,42.032,47.4637,48.3899,49.6428,50.1072,52.2507,52.894,53.1229,53.9061,54.3162,54.8504,54.9237,54.7415,53.8219,54.9493,53.4155,54.9688,54.1498,55.4939,55.5195,56.5704,56.2776,55.0915,54.7065,3.62462,5.95786,394.105,296.264,0.3816,11.0215,15.1486,15.1486,65.6835,75.9647,104.0350
HAJMIQ_clean-(id_177136),0.961751,7.28778,35.1288,71.4578,79.617,246.654,496.224,526.632,542.427,545.518,554.87,555.739,558.303,564.891,564.128,563.692,567.876,566.156,574.009,570.781,577.278,580.234,579.909,584.352,583.467,589.827,591.447,587.481,597.567,6.64572,13.2624,2121.07,2429.08,0.7212,26.4022,26.4022,26.4022,90,90,90
HAJPEQ_clean-(id_177137),48.8484,145.303,216.648,232.015,234.315,234.489,234.555,234.58,235.327,238.085,240.828,240.772,241.846,242.244,241.967,242.075,245.434,243.561,244.821,247.45,251.387,249.258,251.69,248.303,257.807,260.61,263.27,267.743,256.595,3.57208,6.11767,852.908,847.173,0.5204,12.8199,12.8199,32.617,90,90,90
HAJRES_clean-(id_177138),45.3656,103.717,159.161,200.792,218.192,221.354,226.096,230.484,230.207,231.883,233.515,233.354,231.658,230.939,232.891,230.578,231.075,234.185,235.82,237.69,234.855,234.893,235.852,235.843,236.519,237.733,237.699,237.84,240.061,3.63417,5.28648,1046.03,1156.98,0.5196,30.438,44.985,30.3992,90,90,90
HAJYEZ_clean-(id_177139),42.1108,73.6665,82.7145,90.8134,98.7865,100.889,102.617,103.258,104.984,106.094,108.432,106.43,107.872,110.005,109.825,111.239,112.4,114.242,114.903,116.16,117.571,119.064,119.477,120.049,120.656,120.548,120.251,119.094,118.757,3.74879,5.05238,731.65,489.133,0.4222,10.282,11.261,12.171,92.575,109.114,109.752
HAKCAZ_clean-(id_177140),16.8704,35.7819,108.463,228.091,251.636,264.22,280.955,282.046,293.689,296.613,298.774,297.504,299.292,300.305,302.555,303.563,300.651,305.08,306.725,306.458,307.973,309.381,307.508,309.235,309.345,309.43,311.087,311.05,310.218,5.03113,7.25791,1594.01,1351.88,0.5908,16.7295,18.1404,33.4739,90.0000,90.0000,117.4590
HAKSAQ_clean-(id_177142),3.02293,22.2994,135.32,269.907,288.678,295.636,297.067,296.761,297.455,297.184,297.606,298.314,298.146,297.186,299.733,300.698,301.577,303.075,304.192,303.641,308.318,309.292,311.116,316.864,317.782,323.281,324.772,324.487,325.93,3.9387,8.06664,1831.32,1579.42,0.63,13.81,13.81,18.33,90,90,120
HAKSEU_clean-(id_177143),2.4519,18.7841,106.949,244.544,261.045,266.498,269.136,274.306,278.029,279.765,282.211,282.347,283.419,283.323,290.836,286.755,285.136,292.05,294.233,293.136,295.566,299.372,301.407,302.398,308.336,312.067,316.399,317.57,318.127,3.61748,8.08706,1637.77,1293.3,0.6148,13.8618,13.8618,18.5079,90,90,120
HAKSIY_clean-(id_177144),0.269426,2.90939,33.6959,276.688,323.924,336.4,337.827,337.814,337.887,337.893,337.933,337.9,337.954,338.222,337.864,337.933,337.943,337.899,337.9,337.908,337.902,337.82,337.9,338.11,338.043,337.9,338.009,337.9,337.9,3.53077,8.0725,1587.07,1533.85,0.6072,13.857,13.857,17.925,90,90,120
HAKVOH_clean-(id_177150),0.0143783,0.154548,1.36564,15.7196,204.004,244.716,259.602,266.463,274.329,281.929,292.725,293.962,310.726,323.807,317.749,319.128,320.54,327.603,331.613,328.647,331.209,333.216,330.136,330.147,330.563,332.342,329.056,329.947,329.137,3.7795,9.12551,1785.15,1524.17,0.6208,15.7672,15.7672,16.6814,90,90,120
HAKWAU_clean-(id_177152),0.0968848,0.890225,9.28005,149.842,464.643,483.009,484.296,484.342,484.379,484.417,484.413,484.417,484.424,484.424,484.406,484.424,484.424,484.424,484.424,484.424,484.424,484.422,484.424,484.424,484.42,484.424,484.424,484.424,484.424,4.02298,7.77196,1840.06,1901.03,0.6374,13.1696,13.1696,14.7973,90,90,120
HALQUJ_clean-(id_177154),0.358989,3.66531,28.4712,150.927,412.907,477.964,512.786,528.657,537.83,547.932,549.812,550.542,551.186,555.17,556.373,551.504,558.757,559.195,562.424,563.544,565.8,565.372,565.621,563.206,565.286,564.976,571.388,571.405,571.113,4.11171,5.83271,2252.16,2905.8,0.6658,17.8729,8.7298,22.7524,90,96.072,90
HALVAU_clean-(id_177155),0.16865,1.69935,17.0023,123.124,222.357,308.913,363.643,381.43,386.562,391.22,389.546,392.785,395.973,396.251,395.204,400.831,403.574,404.115,405.284,398.683,401.905,409.193,406.114,410.199,408.157,411.557,414.169,411.508,410.116,4.09487,7.2529,1723.2,1679.54,0.6096,10.07,13.107,15.216,78.42,76.527,68.204
HAMJOW_clean-(id_177156),0.282606,2.70212,27.5408,270.854,352.171,429.05,447.554,448.261,447.6,448.68,448.741,448.684,448.742,448.754,449.03,448.526,448.74,448.807,448.75,448.716,448.636,448.795,448.766,449.121,450.05,449.997,449.841,450.642,449.461,5.66826,5.97637,2203.56,2405.35,0.6442,13.7490,13.9900,14.0730,110.5380,90.0000,90.0000
HAMREU_clean-(id_177160),0.46281,5.24259,57.9378,70.684,74.6015,87.7474,93.3771,94.353,100.588,101.449,102.866,104.537,105.631,105.279,103.979,107.225,106.566,106.867,108.651,107.396,105.734,107.359,110.787,110.438,112.031,111.422,113.651,111.684,114.214,5.08597,7.3712,881.924,490.542,0.4552,13.4377,13.4377,14.8530,90.0000,90.0000,120.0000
HAMRIY_clean-(id_177161),0.641941,7.82286,65.1375,68.3172,68.5693,68.9695,73.1332,80.3842,83.7152,87.0936,87.4039,86.4807,87.7789,88.5552,90.5615,91.0333,91.5674,92.2872,90.2227,92.3341,93.8361,94.9852,93.4508,94.6798,94.8007,94.3033,95.0118,96.153,96.9475,5.0191,7.12952,853.811,433.551,0.434,13.3238,13.3238,14.3368,90.0000,90.0000,120.0000
HANWAW_clean-(id_177166),0.889145,7.07556,30.2584,76.3954,217.437,419.194,519.248,531.584,540.098,546.844,543.581,551.565,553.409,550.966,556.248,554.428,555.232,560.444,559.299,563.479,561.053,559.874,567.73,567.075,565.289,563.586,574.824,570.53,577.142,4.96034,11.3267,2065.42,2457.39,0.7018,20.0157,26.8932,26.9890,90.0000,90.0000,90.0000
HAPBAE_clean-(id_177167),0.106456,1.0167,9.13557,53.7197,157.216,228.381,262.155,269.357,276.297,277.66,281.648,284.39,281.751,284.009,284.778,284.349,285.866,287.422,287.926,288.489,288.398,289.149,289.607,290.375,291.885,292.628,292.631,292.018,292.534,4.51752,7.19899,1786.64,1517.97,0.6014,13.543,25.778,26.753,98.786,103.609,103.991
HAPBEI_clean-(id_177168),0.0856728,0.858013,7.78996,46.7612,146.195,229.829,262.375,269.383,276.103,277.544,278.442,280.399,283.22,282.975,283.736,286.912,283.924,286.704,288.857,288.204,290.465,292.045,290.696,292.056,293.874,293.021,294.131,295.977,293.635,4.51665,7.40345,1752.62,1481.38,0.5974,13.527,25.847,26.657,98.87,103.892,103.725
HAPGIR_clean-(id_177170),0.130458,1.33273,14.3306,80.2606,163.108,218.928,251.242,259.119,264.971,269.961,274.363,274.512,271.887,275.997,278.763,274.964,275.371,278.25,280.655,282.437,278.684,280.501,283.257,279.981,285.069,285.113,287.559,285.419,284.562,5.53694,6.12679,1460.77,1169.52,0.5518,14.208,14.095,15.117,90,105.31,90
HAPHUD_clean-(id_177171),0.15335,1.46548,15.2622,83.9596,154.16,429.581,473.92,480.647,490.986,493.415,498.045,503.856,509.151,511.593,515.554,513.863,516.301,512.307,520.26,517.124,518.706,520.255,527.257,527.314,525.823,528.937,526.341,527.715,526.197,6.8337,8.47502,1882.02,2275.42,0.6618,11.3815,20.0676,29.4371,90.0000,98.7820,90.0000
HAPNEU_clean-(id_177172),0.13383,1.29611,11.3531,60.5718,171.609,231.984,269.224,276.53,281.508,284.591,289.216,291.596,293.397,293.215,295.065,295.706,297.116,298.199,296.906,299.038,298.086,299.254,299.334,300.788,302.075,302.336,303.404,304.832,303.323,4.47989,7.1275,1773.48,1574.85,0.6,13.56,25.683,26.59,99.185,104.314,104.895
HAPNOE_clean-(id_177173),0.158589,1.67003,17.6549,112.265,135.443,154.677,170.216,172.836,179.434,180.562,182.693,183.42,186.689,187.69,186.799,188.251,186.96,188.811,190.061,190.344,189.926,190.692,193.452,195.707,193.568,193.866,194.85,197.109,195.045,3.7042,5.80604,1358.54,910.909,0.535,21.8947,8.3062,23.2034,90,100.053,90
HAPNUK_clean-(id_177174),0.164056,1.58947,17.2888,111.536,134.817,153.007,168.305,172.51,178.075,180.627,181.987,185.713,183.639,185.813,186.819,186.957,189.88,190.289,189.222,190.577,189.952,191.525,193.371,192.326,193.991,192.973,194.651,192.701,193.013,3.70444,5.80307,1370.95,915.947,0.5352,21.8947,8.3062,23.2034,90,100.053,90
HAPPAS_clean-(id_177175),0.149016,1.497,21.4634,113.817,130.296,149.236,161.393,164.306,165.802,168.294,168.304,170.556,171.438,173.103,171.792,173.407,171.535,175.255,174.738,174.306,175.129,177.41,177.456,178.64,180.319,180.61,183.529,183.083,180.664,3.61524,5.66478,1255.98,812.875,0.5282,21.617,8.2378,23.158,90,99.426,90
HAPVAX_clean-(id_177176),0.0392178,0.399674,3.8393,18.1054,50.6407,74.4067,90.4116,92.694,95.4684,97.0854,98.2866,99.9789,98.7738,100.646,100.911,101.209,102.472,102.533,103.484,102.951,102.817,103.484,104.028,104.525,104.314,105.84,107.127,105.21,105.227,4.3693,4.77798,1214.15,441.064,0.4816,11.6182,15.5887,13.1134,90.0000,90.0000,90.0000
HAPVEB_clean-(id_177177),0.0425188,0.430952,3.9443,18.7493,51.3718,72.1781,88.1958,91.8252,95.3576,94.6758,97.0279,97.6629,98.5777,98.8513,98.9534,99.5154,99.6289,100.098,100.049,100.642,101.239,101.149,101.751,104.33,103.358,104.676,103.87,104.071,105.307,4.34263,4.76596,1216.03,438.349,0.4794,11.6280,15.5780,13.0650,90.0000,90.0000,90.0000
HAQJIV_clean-(id_177178),0.761723,5.70735,25.9225,69.9584,129.251,561.101,675.251,689.697,700.094,710.185,713.102,717.762,719.047,721.13,721.858,727.113,724.914,734.989,734.255,739.212,750.628,766.928,777.529,779.129,779.728,782.832,782.592,786.992,780.999,6.16089,10.9219,2352.02,3217.63,0.744,18.616,18.616,37.566,90,90,120
HAQKES_clean-(id_177179),0.586988,4.52003,17.2235,35.298,142.319,243.02,268.31,271.812,278.46,282.587,281.2,286.352,284.982,287.006,290.77,290.111,287.442,289.531,289.804,293.027,292.793,297.372,298.53,295.14,299.603,297.384,299.19,302.507,300.556,5.84135,7.18365,1917.74,1518.71,0.6256,26.343,27.158,27.158,90,90,90
HAQRID_clean-(id_177180),0.0792516,0.747264,7.62518,52.221,293.398,351.113,378.286,388.194,392.613,398.573,400.339,402.723,406.152,404.213,410.679,409.123,405.742,408.893,411.725,412.948,415.846,417.997,418.88,420.139,421.522,423.088,421.838,419.502,424.869,7.36684,8.35999,1835.07,1814.52,0.6542,12.3215,30.711,22.7224,90,94.229,90
HASMIZ_clean-(id_177185),0.0123181,0.121443,1.2536,12.9535,100.306,489.355,584.148,605.315,619.865,624.459,633.44,635.622,641.115,644.686,650.434,647.796,647.891,661.869,659.768,657.562,662.04,663.163,662.75,666.617,666.799,670.538,672.398,675.766,679.86,5.9051,9.9371,2096.9,2833.15,0.687,11.3737,17.6013,17.9058,90.0000,90.0000,99.2340
HASNIB_clean-(id_177186),0.00132873,0.0169888,0.167657,1.70647,19.6238,107.538,156.776,164.724,171.547,176.169,176.317,177.863,177.275,182.843,181.749,185.101,183.629,185.456,186.642,185.667,185.915,187.33,188.466,188.585,190.081,189.661,192.301,190.389,190.33,4.36097,5.40755,1493.17,853.86,0.5666,9.8029,17.5059,14.6324,90,97.1208,90
HASNOH_clean-(id_177187),0.00619947,0.0609087,0.627278,6.31183,61.9032,105.05,134.47,145.579,152.881,158.71,159.953,160.743,162.557,163.877,162.49,164.161,165.123,165.739,167.651,167.948,167.205,168.329,167.143,169.434,172.005,171.977,172.556,171.929,172.392,4.39397,5.38898,1402.69,752.852,0.5556,9.7909,17.2987,14.5929,90,97.1322,90
